time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449900000	16.2907	19.5505	5.02231	2.55544	0.519673	lidar	0.652371	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0703	19.6306	4.95244	2.60777	0.559868	radar	10.1807	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8617	19.7759	4.98075	2.62782	0.551446	lidar	0.679682	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6859	19.8913	4.7585	2.63358	0.504019	radar	3.29042	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4332	20.0609	4.98718	2.64854	0.491767	lidar	0.975919	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2019	20.217	5.07447	2.65811	0.469374	radar	5.38479	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0428	20.3267	4.87689	2.67309	0.462127	lidar	2.1187	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8108	20.4099	4.90208	2.71106	0.48569	radar	2.18581	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.602	20.524	4.88355	2.72856	0.478788	lidar	0.601181	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3509	20.6208	5.02635	2.76288	0.501341	radar	1.17298	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1094	20.69	5.01418	2.79596	0.509846	lidar	0.678747	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8612	20.7687	5.0987	2.82917	0.526695	radar	0.273045	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5774	20.8357	5.20641	2.86246	0.532668	lidar	1.30376	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3138	20.8762	5.34299	2.91143	0.576048	radar	2.09669	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0883	20.9012	5.19775	2.94932	0.587802	lidar	0.378501	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8553	20.9614	5.10778	2.97006	0.575232	radar	1.90776	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7001	20.9804	4.79905	3.00295	0.585595	lidar	2.27156	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4357	21.0274	4.92047	3.0278	0.58117	radar	2.54064	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1899	21.0635	4.93373	3.05266	0.576374	lidar	0.130202	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9522	21.0834	4.95386	3.08328	0.58272	radar	0.947342	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7227	21.0467	4.86838	3.13101	0.604777	lidar	1.89716	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4774	21.0325	4.86528	3.16642	0.610424	radar	1.06651	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2788	21.019	4.7346	3.20073	0.617807	lidar	0.581547	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0218	20.981	4.79629	3.23879	0.624907	radar	4.16835	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.827	20.9379	4.66853	3.28004	0.639337	lidar	0.313114	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5936	20.9277	4.43223	3.29413	0.605579	radar	5.21157	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2753	20.9734	4.71465	3.28042	0.548858	lidar	4.03977	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0438	20.9509	4.7171	3.30298	0.543806	radar	1.0046	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.87497	20.9072	4.53989	3.33973	0.559159	lidar	1.21832	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.67111	20.8831	4.26666	3.35389	0.534012	radar	1.32779	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.48841	20.8372	4.19757	3.38395	0.53961	lidar	0.240855	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.28579	20.787	4.30981	3.41306	0.547007	radar	1.45201	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.93123	20.7758	4.69082	3.39439	0.485664	lidar	4.00239	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.73074	20.6923	4.66467	3.43413	0.506589	radar	4.16408	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41098	20.6192	4.93143	3.44241	0.480808	lidar	3.22593	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17875	20.5414	4.94046	3.46835	0.483777	radar	0.0406333	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.9235	20.4629	5.00022	3.48688	0.476011	lidar	0.105652	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.7013	20.3808	5.08315	3.51486	0.487184	radar	3.23214	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.34585	20.3281	5.38421	3.49731	0.433517	lidar	2.40243	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.09963	20.2377	5.26683	3.51445	0.423427	radar	0.336899	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.83603	20.1515	5.31411	3.52712	0.413041	lidar	0.107011	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.60625	20.0621	5.19478	3.54437	0.406955	radar	0.628451	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.37287	19.9673	5.17821	3.56269	0.405242	lidar	0.128382	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.15605	19.8746	5.14593	3.58261	0.407683	radar	3.09075	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.89462	19.7795	5.21338	3.59043	0.392209	lidar	0.247468	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.63582	19.6407	5.46621	3.61719	0.406066	radar	1.4206	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.51013	19.5069	5.17331	3.66785	0.447425	lidar	2.57218	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.30731	19.3589	5.16173	3.70101	0.461501	radar	1.87525	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11017	19.2544	5.0829	3.71813	0.457124	lidar	2.02139	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94413	19.139	4.80451	3.74201	0.456628	radar	4.42792	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80459	18.9915	4.68156	3.78404	0.482002	lidar	0.564654	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58459	18.8417	4.94258	3.80348	0.47944	radar	1.70509	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.41459	18.71	4.86788	3.82758	0.481786	lidar	0.98814	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.2529	18.5646	4.65792	3.8535	0.481281	radar	0.95547	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
